artist,song,date,rank,weeks-on-board
Adam Ant,Room At The Top,1990-06-23,17,16
Adam Ant,Strip,1984-04-28,42,13
Adam Ant,Wonderful,1995-08-05,39,19
Adam Clayton & Larry Mullen,"Theme From Mission: Impossible (From ""Mission: Impossible"")",1996-09-21,7,20
Adam Faith,Talk About Love,1965-04-24,97,2
Adam Faith With The Roulettes,It's Alright,1965-03-06,31,8
Adam Lambert,A Change Is Gonna Come,2009-06-06,56,1
Adam Lambert,Better Than I Know Myself,2012-01-07,76,1
Adam Lambert,For Your Entertainment,2009-12-12,61,2
Adam Lambert,Ghost Town,2015-10-24,64,17
Adam Lambert,If I Had You,2010-11-20,30,20
Adam Lambert,Mad World,2009-06-20,19,3
Adam Lambert,No Boundaries,2009-06-13,72,2
Adam Lambert,One,2009-06-06,82,1
Adam Lambert,Time For Miracles,2009-11-07,50,1
Adam Lambert,Whataya Want From Me,2010-07-24,10,30
Adam Levine & Javier Colon,Man In The Mirror,2011-07-16,45,1
Adam Levine & Tony Lucca,Yesterday,2012-05-26,68,1
Adam Sandler,The Chanukah Song,1999-01-09,80,2
Adam Wade,As If I Didn't Know,1961-09-25,10,10
Adam Wade,Crying In The Chapel,1965-02-13,88,3
Adam Wade,Gloria's Theme,1960-12-26,74,6
Adam Wade,I Can't Help It,1960-08-01,64,7
Adam Wade,Linda,1961-10-02,94,1
Adam Wade,Point Of No Return,1961-07-10,85,4
Adam Wade,Ruby,1960-05-02,58,8
Adam Wade,Take Good Care Of Her,1961-06-12,7,14
Adam Wade,Tell Her For Me,1960-02-22,66,7
Adam Wade,The Writing On The Wall,1961-07-24,5,11
Adam Wade,Tonight I Won't Be There,1961-10-30,61,7
Adam Wakefield,I'm Sorry,2016-06-04,94,1
Adam Wakefield,Lonesome Broken And Blue,2016-06-11,73,1
Addrisi Brothers,Cherrystone,1959-07-13,62,6
Addrisi Brothers,Does She Do It Like She Dances,1977-10-08,74,4
Addrisi Brothers,Ghost Dancer,1979-09-29,45,8
Addrisi Brothers,Never My Love,1977-12-31,80,4
Addrisi Brothers,Slow Dancin' Don't Turn Me On,1977-07-16,20,15
Addrisi Brothers,We've Got To Get It On Again,1972-04-08,25,12
Adele,All I Ask,2016-03-05,77,1
Adele,Chasing Pavements,2009-03-07,21,7
Adele,Easy On Me,2021-11-06,1,3
Adele,Hello,2016-05-07,1,26
Adele,Remedy,2015-12-12,87,1
Adele,Rolling In The Deep,2012-04-14,1,65
Adele,Rumour Has It,2012-06-30,16,27
Adele,Send My Love (To Your New Lover),2016-12-03,8,27
Adele,Set Fire To The Rain,2012-07-07,1,43
Adele,Skyfall,2013-03-16,8,20
Adele,Someone Like You,2012-04-14,1,39
Adele,Turning Tables,2011-05-28,63,3
Adele,Water Under The Bridge,2017-04-22,26,22
Adele,When We Were Young,2016-04-23,14,20
Adina Howard,Freak Like Me,1995-09-02,2,30
Adina Howard,My Up And Down,1995-09-16,68,10
Adina Howard,[Freak] And U Know It,1997-09-06,70,7
Adrian Belew,Oh Daddy,1989-09-23,58,8
Adrian Kimberly,The Graduation Song... Pomp And Circumstance,1961-07-24,34,5
Aerosmith,Amazing,1994-04-23,24,21
Aerosmith,Angel,1988-07-16,3,25
Aerosmith,Back In The Saddle,1977-05-28,38,8
Aerosmith,Blind Man,1995-02-11,48,14
Aerosmith,Chip Away The Stone,1979-02-03,77,3
Aerosmith,Come Together,1978-10-21,23,12
Aerosmith,Crazy,1994-10-22,17,23
Aerosmith,Cryin',1994-01-22,12,26
Aerosmith,Draw The Line,1977-12-31,42,11
Aerosmith,Dream On,1976-05-22,6,29
Aerosmith,Dude (Looks Like A Lady),1988-02-13,14,20
Aerosmith,Falling In Love (Is Hard On The Knees),1997-06-07,35,15
Aerosmith,Hole In My Soul,1997-11-01,51,11
Aerosmith,Home Tonight,1976-10-16,71,4
Aerosmith,I Don't Want To Miss A Thing,1999-01-16,1,20
Aerosmith,Jaded,2001-06-09,7,20
Aerosmith,Janie's Got A Gun,1990-03-24,4,18
Aerosmith,Kings And Queens,1978-04-08,70,5
Aerosmith,Last Child,1976-09-18,21,15
Aerosmith,Livin' On The Edge,1993-08-21,18,20
Aerosmith,Love In An Elevator,1989-12-16,5,16
Aerosmith,Pink,1998-05-23,27,13
Aerosmith,Rag Doll,1988-09-24,17,17
Aerosmith,Remember (Walking In The Sand),1980-02-16,67,6
Aerosmith,Sweet Emotion,1975-08-02,36,8
Aerosmith,The Other Side,1990-09-29,22,15
Aerosmith,Walk This Way,1977-03-12,10,17
Aerosmith,What It Takes,1990-07-07,9,17
Afrika Bambaataa & The Soul Sonic Force,Planet Rock,1982-09-25,48,11
Afrique,Soul Makossa,1973-08-04,47,9
Afrojack Featuring Chris Brown,As Your Friend,2013-03-23,88,3
Afrojack Featuring Eva Simons,Take Over Control,2011-11-12,41,20
Afrojack Featuring Wrabel,Ten Feet Tall,2014-07-19,100,1
Afroman,Because I Got High,2001-10-20,13,10
After 7,'Til You Do Me Right,1995-12-02,31,22
After 7,Baby I'm For Real/Natural High,1993-03-06,55,18
After 7,Can't Stop,1991-01-12,6,25
After 7,"Gonna Love You Right (From ""Sugar Hill"")",1994-05-21,87,6
After 7,Heat Of The Moment,1991-03-23,19,30
After 7,Kickin' It,1992-11-07,45,13
After 7,"Nights Like This (From ""The Five Heartbeats"")",1991-08-31,24,15
After 7,Ready Or Not,1990-08-18,7,21
After The Fire,Dancing In The Shadows,1983-06-11,85,3
After The Fire,Der Kommissar,1983-07-02,5,21
Aftershock,Going Through The Motions,1991-07-13,52,16
Agnetha Faltskog,Can't Shake Loose,1983-12-03,29,15
Agnetha Faltskog/Peter Cetera,I Wasn't The One (Who Said Goodbye),1988-05-07,93,3
Agust D,Daechwita,2020-06-06,76,1
Ahmad,Back In The Day,1994-10-08,26,20
Aimee Mann,That's Just What You Are,1995-02-25,93,6
Air Supply,All Out Of Love,1980-12-13,2,27
Air Supply,Even The Nights Are Better,1982-10-09,5,18
Air Supply,Every Woman In The World,1981-03-21,5,22
Air Supply,Here I Am (Just When I Thought I Was Over You),1982-02-06,5,20
Air Supply,Just As I Am,1985-08-31,19,15
Air Supply,Lonely Is The Night,1986-09-27,76,8
Air Supply,Lost In Love,1980-07-12,3,23
Air Supply,Making Love Out Of Nothing At All,1984-01-14,2,25
Air Supply,Power Of Love (You Are My Lady),1985-09-14,68,6
Air Supply,Sweet Dreams,1982-04-24,5,20
Air Supply,The One That You Love,1981-09-19,1,19
Air Supply,Two Less Lonely People In The World,1983-02-12,38,14
Air Supply,Young Love,1982-11-13,38,9
Airwaves,So Hard Livin' Without You,1978-07-08,62,6
Akon,Angel,2011-05-14,56,10
Akon,Belly Dancer (Bananza),2005-12-24,30,20
Akon,Don't Matter,2007-07-07,1,23
Akon,Ghetto,2005-02-05,92,5
Akon,Lonely,2005-07-09,4,20
Akon,Right Now (Na Na Na),2009-03-07,8,22
Akon,"Sorry, Blame It On Me",2007-12-08,7,19
Akon Featuring Colby O'Donis & Kardinal Offishall,Beautiful,2009-05-16,19,22
Akon Featuring Eminem,Smack That,2007-04-28,2,30
Akon Featuring Lil Wayne & Young Jeezy,I'm So Paid,2009-03-14,31,20
Akon Featuring Snoop Dogg,I Wanna Love You,2007-04-28,1,29
Akon Featuring Styles P.,Locked Up,2004-12-11,8,27
Akon Featuring Sweet Rush,Troublemaker,2008-11-29,97,1
Al (He's the King) Hirt,Al's Place,1965-05-29,57,7
Al (He's the King) Hirt,Fancy Pants,1965-02-27,47,7
Al (He's the King) Hirt,Java,1964-04-18,4,16
Al (He's the King) Hirt,Sugar Lips,1964-08-22,30,7
Al (He's the King) Hirt,Up Above My Head (I Hear Music In The Air),1964-11-07,85,5
Al B. Sure!,Killing Me Softly,1989-01-28,80,11
Al B. Sure!,Missunderstanding,1991-01-12,42,14
Al B. Sure!,Nite And Day,1988-08-27,7,21
Al B. Sure!,Off On Your Own (Girl),1988-10-22,45,12
Al B. Sure!,Right Now,1993-01-09,47,20
Al Brown's Tunetoppers Featuring Cookie Brown,The Madison,1960-06-20,23,12
Al Caiola And His Orchestra,Bonanza,1961-06-05,19,10
Al Caiola And His Orchestra,The Magnificent Seven,1961-02-20,35,12
Al Casey,Surfin' Hootenanny,1963-08-31,48,8
Al Casey Combo,Cookin',1962-04-14,92,2
Al Casey Combo,Jivin' Around,1962-09-08,71,6
Al Corley,Square Rooms,1985-06-08,80,5
Al DeLory,Song From M*A*S*H,1970-09-05,70,12
Al Downing,I'll Be Holding On,1975-03-15,85,4
Al Green,Belle,1978-02-04,83,5
Al Green,Call Me (Come Back Home),1973-04-28,10,11
Al Green,Full Of Fire,1976-01-17,28,11
Al Green,Guilty,1972-11-11,69,7
Al Green,Here I Am Come & Take Me,1973-10-13,10,15
Al Green,Hot Wire,1973-02-17,71,5
Al Green,I Can't Get Next To You,1971-01-23,60,10
Al Green,I'm Still In Love With You,1972-09-23,3,12
Al Green,Keep Me Cryin',1977-01-22,37,14
Al Green,L-O-V-E (Love),1975-05-17,13,12
Al Green,Let's Get Married,1974-06-08,32,11
Al Green,Let's Stay Together,1972-03-18,1,16
Al Green,Livin' For You,1974-02-16,19,11
Al Green,Look What You Done For Me,1972-06-17,4,12
Al Green,"Oh Me, Oh My (Dreams In My Arms)",1975-08-09,48,6
Al Green,Sha-La-La (Make Me Happy),1975-02-01,7,19
Al Green,Tired Of Being Alone,1971-11-27,11,19
Al Green,You Ought To Be With Me,1973-01-27,3,15
Al Greene & The Soul Mate's,Back Up Train,1968-02-24,41,12
Al Hirt,Cotton Candy,1964-06-27,15,12
Al Hirt,Keep The Ball Rollin',1968-01-27,100,1
Al Hirt,The Silence (Il Silenzio),1965-09-18,96,2
Al Jarreau,After All,1984-12-08,69,9
Al Jarreau,Breakin' Away,1982-02-06,43,10
Al Jarreau,Moonlighting (Theme),1987-08-22,23,13
Al Jarreau,Teach Me Tonight,1982-05-15,70,7
Al Jarreau,We're In This Love Together,1982-01-09,15,24
Al Kent,You've Got To Pay The Price,1967-10-14,49,9
Al Martino,A Voice In The Choir,1968-01-13,80,6
Al Martino,Always Together,1964-10-03,33,8
Al Martino,Can't Help Falling In Love,1970-03-28,51,8
Al Martino,Daddy's Little Girl,1967-03-25,42,9
Al Martino,"Darling, I Love You",1959-11-02,63,6
Al Martino,Forgive Me,1965-11-20,61,6
Al Martino,Here In My Heart,1961-08-14,86,4
Al Martino,I Can't Get You Out Of My Heart,1964-08-22,44,11
Al Martino,I Can't Help It (If I'm Still In Love With You),1969-01-11,97,3
Al Martino,I Love You Because,1963-07-20,3,16
Al Martino,I Love You More And More Every Day,1964-04-11,9,11
Al Martino,I Started Loving You Again,1970-01-17,86,5
Al Martino,Just Yesterday,1966-08-27,77,4
Al Martino,Lili Marlene,1968-06-08,87,7
Al Martino,Living A Lie,1963-12-28,22,10
Al Martino,Love Is Blue,1968-03-23,57,7
Al Martino,Mary In The Morning,1967-07-15,27,8
Al Martino,More Than The Eye Can See,1967-10-28,54,6
Al Martino,My Cherie,1965-06-26,88,3
Al Martino,My Heart Would Know,1965-02-27,52,7
Al Martino,"Painted, Tainted Rose",1963-10-12,15,12
Al Martino,Sausalito,1969-05-31,99,3
Al Martino,Somebody Else Is Taking My Place,1965-05-01,53,6
Al Martino,Spanish Eyes,1966-02-19,15,12
Al Martino,Speak Softly Love,1972-05-20,80,4
Al Martino,Tears And Roses,1964-07-04,20,8
Al Martino,The Next Hundred Years,1978-02-04,49,9
Al Martino,The Wheel Of Hurt,1966-12-03,59,8
Al Martino,Think I'll Go Somewhere And Cry Myself To Sleep,1966-04-30,30,8
Al Martino,To The Door Of The Sun (Alle Porte Del Sole),1975-04-05,17,16
Al Martino,Volare,1976-01-03,33,10
Al Martino,We Could,1964-12-12,41,6
Al Martino,Wiederseh'n,1966-06-18,57,4
Al Stewart,Midnight Rocks,1980-11-22,24,13
Al Stewart,On The Border,1977-06-18,42,9
Al Stewart,Song On The Radio,1979-03-24,29,9
Al Stewart,Time Passages,1979-01-27,7,18
Al Stewart,Year Of The Cat,1977-04-02,8,17
Al Wilson,I Won't Last A Day Without You/Let Me Be The One,1975-02-22,70,7
Al Wilson,I've Got A Feeling (We'll Be Seeing Each Other Again),1976-05-29,29,10
Al Wilson,La La Peace Song,1974-12-07,30,10
Al Wilson,Lodi,1969-10-04,67,7
Al Wilson,Poor Side Of Town,1969-02-08,75,4
Al Wilson,Show And Tell,1974-03-16,1,22
Al Wilson,The Snake,1968-10-19,27,10
Al Wilson,Touch And Go,1974-05-04,57,9
Alabama,Close Enough To Perfect,1982-11-20,65,12
Alabama,Feels So Right,1981-10-31,20,22
Alabama,How Do You Fall In Love,1999-01-02,82,5
Alabama,Keepin' Up,1999-03-27,69,8
Alabama,Lady Down On Love,1983-12-03,76,6
Alabama,Love In The First Degree,1982-04-03,15,21
Alabama,Take Me Down,1982-08-14,18,13
Alabama,The Closer You Get,1983-07-16,38,11
Alabama,When We Make Love,1984-07-21,72,10
Alabama Featuring 'N Sync,God Must Have Spent A Little More Time On You,1999-10-09,29,20
Alabama Shakes,Hold On,2013-03-09,93,2
Alan Jackson,A Woman's Love,2007-06-30,73,12
Alan Jackson,Chattahoochee,1993-11-20,46,20
Alan Jackson,Country Boy,2009-03-21,49,19
Alan Jackson,Drive (For Daddy Gene),2002-07-27,28,20
Alan Jackson,Gone Crazy,1999-06-05,43,13
Alan Jackson,Good Time,2008-10-04,40,20
Alan Jackson,It Must Be Love,2000-11-04,37,20
Alan Jackson,Like Red On A Rose,2006-11-04,80,5
Alan Jackson,Little Bitty,1997-01-18,58,10
Alan Jackson,Little Man,1999-10-30,39,17
Alan Jackson,Monday Morning Church,2005-03-19,54,16
Alan Jackson,Pop A Top,2000-03-11,43,17
Alan Jackson,Remember When,2004-04-24,29,20
Alan Jackson,Right On The Money,1999-02-20,43,12
Alan Jackson,Sissy's Song,2009-07-18,61,13
Alan Jackson,Small Town Southern Man,2008-05-31,42,20
Alan Jackson,That'd Be Alright,2003-06-21,29,20
Alan Jackson,The Talkin' Song Repair Blues,2005-07-16,99,2
Alan Jackson,Too Much Of A Good Thing,2004-10-30,46,13
Alan Jackson,When Somebody Loves You,2001-08-18,52,17
Alan Jackson,Where I Come From,2002-01-05,34,20
Alan Jackson,Where Were You (When The World Stopped Turning),2002-04-06,28,20
Alan Jackson,Work In Progress,2002-12-28,35,19
Alan Jackson,www.memory,2001-02-10,45,15
Alan Jackson & Jimmy Buffett,It's Five O'Clock Somewhere,2003-11-08,17,20
Alan O'Day,"Started Out Dancing, Ended Up Making Love",1977-11-05,73,6
Alan O'Day,Undercover Angel,1977-09-17,1,25
Alan Parsons,I Wouldn't Want To Be Like You,1977-11-12,36,13
Alan Price Set,I Put A Spell On You,1966-08-13,80,3
Alan Walker,Faded,2016-07-02,80,8
Alana Davis,32 Flavors,1998-04-18,37,20
Alanis Morissette,Everything,2004-08-07,76,9
Alanis Morissette,Hands Clean,2002-06-15,23,20
Alanis Morissette,Ironic,1996-10-19,4,32
Alanis Morissette,Thank U,1999-02-13,17,11
Alanis Morissette,Unsent,1999-03-13,58,6
Alanis Morissette,You Learn/You Oughta Know,1997-02-15,6,30
Alannah Myles,Black Velvet,1990-06-16,1,24
Alannah Myles,Love Is,1990-07-28,36,13
Albert Hammond,99 Miles From L.a.,1975-05-31,91,6
Albert Hammond,Air Disaster,1974-07-20,81,4
Albert Hammond,Down By The River,1972-09-02,91,7
Albert Hammond,Half A Million Miles From Home,1973-12-29,87,5
Albert Hammond,I'm A Train,1974-05-18,31,12
Albert Hammond,If You Gotta Break Another Heart,1973-04-07,63,6
Albert Hammond,It Never Rains In Southern California,1973-02-03,5,16
Albert Hammond,The Free Electric Band,1973-07-07,48,11
Albert Hammond,The Peacemaker,1973-09-22,80,4
Albert King,Breaking Up Somebody's Home,1973-02-24,91,2
Albert King,Cold Feet,1968-02-24,67,4
Aldo Nova,Fantasy,1982-07-10,23,16
Aldo Nova,Foolin' Yourself,1982-08-21,65,6
Alec Benjamin + Alessia Cara,Let Me Down Slowly,2019-05-04,79,9
Alejandro Sanz,A La Primera Persona,2006-11-25,100,1
Alessi,Put Away Your Love,1982-05-22,71,4
Alessia Cara,Growing Pains,2018-09-01,65,8
Alessia Cara,Here,2016-04-09,5,34
Alessia Cara,How Far I'll Go,2017-04-29,56,19
Alessia Cara,Scars To Your Beautiful,2017-07-08,8,43
Alessia Cara,Wild Things,2016-07-23,50,20
Alesso Featuring Tove Lo,Heroes (We Could Be),2015-02-28,31,20
Alex Brown,(Come On) Shout,1985-06-08,76,6
Alex Clare,Too Close,2013-02-09,7,44
Alexander O'Neal,All True Man,1991-05-04,43,11
Alexander O'Neal,Criticize,1988-01-23,70,11
Alexander O'Neal,Fake,1987-10-31,25,15
Alexander O'Neal Featuring Cherrelle,Never Knew Love Like This,1988-04-23,28,14
Alexandra Stan,Mr. Saxobeat,2011-12-10,21,20
Alfonzo Hunter,Just The Way (Playas Play),1996-12-21,85,8
Alfonzo Hunter,Weekend Thang,1997-04-12,90,5
Ali Gatie,It's You,2019-10-05,70,15
Ali Gatie,What If I Told You That I Love You,2020-02-08,95,1
Ali Thomson,Live Every Minute,1980-11-22,42,11
Ali Thomson,Take A Little Rhythm,1980-10-04,15,17
Alias,More Than Words Can Say,1991-02-09,2,23
Alias,Perfect World,1991-07-27,90,4
Alias,Waiting For Love,1991-05-11,13,17
Alice Cooper,Be My Lover,1972-05-13,49,10
Alice Cooper,Billion Dollar Babies,1973-09-08,57,6
Alice Cooper,Caught In A Dream,1971-06-26,94,3
Alice Cooper,Clones (We're All),1980-07-12,40,9
Alice Cooper,Department Of Youth,1975-09-06,67,4
Alice Cooper,Eighteen,1971-05-15,21,13
Alice Cooper,Elected,1972-11-25,26,8
Alice Cooper,Hello Hurray,1973-04-07,35,10
Alice Cooper,Hey Stoopid,1991-08-24,78,5
Alice Cooper,House Of Fire,1990-03-17,56,9
Alice Cooper,How You Gonna See Me Now,1979-02-03,12,16
Alice Cooper,I Never Cry,1977-02-12,12,27
Alice Cooper,No More Mr. Nice Guy,1973-06-30,25,12
Alice Cooper,Only My Heart Talkin',1990-05-12,89,3
Alice Cooper,Only Women,1975-07-19,12,16
Alice Cooper,Poison,1990-01-27,7,19
Alice Cooper,School's Out,1972-08-26,7,13
Alice Cooper,Teenage Lament '74,1974-02-16,48,8
Alice Cooper,Under My Wheels,1972-02-12,59,8
Alice Cooper,Welcome To My Nightmare,1975-11-29,45,6
Alice Cooper,You And Me,1977-09-17,9,21
Alice Deejay,Better Off Alone,2000-08-19,27,20
Alice In Chains,Check My Brain,2009-10-24,92,4
Alice Merton,No Roots,2018-04-21,84,3
Alice Wonder Land,"He's Mine (I Love Him, I Love Him, I Love Him)",1963-10-26,62,7
Alicia Bridges,Body Heat,1979-04-14,86,2
Alicia Bridges,I Love The Nightlife (Disco 'round),1979-02-03,5,31
Alicia Keys,A Woman's Worth,2002-03-09,7,20
Alicia Keys,Doesn't Mean Anything,2009-12-12,60,10
Alicia Keys,Empire State Of Mind (Part II) Broken Down,2010-01-02,55,1
Alicia Keys,Fallin',2002-02-02,1,34
Alicia Keys,How Come You Don't Call Me,2002-06-01,59,9
Alicia Keys,If I Ain't Got You,2004-12-04,4,40
Alicia Keys,Karma,2005-06-11,20,29
Alicia Keys,Like You'll Never See Me Again,2008-05-03,12,24
Alicia Keys,No One,2008-06-14,1,39
Alicia Keys,Superwoman,2008-11-08,82,7
Alicia Keys,Teenage Love Affair,2008-09-06,54,16
Alicia Keys,Try Sleeping With A Broken Heart,2010-04-17,27,20
Alicia Keys,Un-Thinkable (I'm Ready),2010-09-04,21,20
Alicia Keys,Unbreakable,2006-02-04,34,19
Alicia Keys,Underdog,2020-05-09,69,5
Alicia Keys,You Don't Know My Name,2004-03-27,3,20
Alicia Keys Featuring Miguel,Show Me Love,2019-11-23,90,1
Alicia Keys Featuring Nicki Minaj,Girl On Fire,2013-04-13,11,30
Alicia Keys Featuring Tony! Toni! Tone!,Diary,2004-12-25,8,28
Alien Ant Farm,Smooth Criminal,2002-01-05,23,20
Alisan Porter,Down That Road,2016-06-11,100,1
Alisha,Baby Talk,1986-04-12,68,17
Alisha,Bounce Back,1990-07-14,54,8
Alisha,Into My Secret,1987-08-22,97,1
Alison Gold,Chinese Food,2013-11-02,29,1
Alison Krauss + Union Station,When You Say Nothing At All,1995-09-09,53,18
Alison Moyet,Invisible,1985-06-29,31,17
Alison Moyet,Love Resurrection,1985-08-10,82,4
Alive & Kicking,"Tighter, Tighter",1970-09-05,7,14
Alive 'N Kickin',Just Let It Come,1970-10-24,69,5
All City,The Actual,1998-08-01,75,4
All Saints,I Know Where It's At,1998-05-30,36,18
All Saints,Never Ever,1998-11-28,4,19
All Sports Band,I'm Your Superman,1981-12-05,93,2
All Sports Band,Opposites Do Attract,1982-02-20,78,3
All Star Tribute,What's Going On,2001-12-08,27,10
All Time Low,Damned If I Do Ya (Damned If I Don't),2009-07-04,67,1
All Time Low Featuring Demi Lovato & blackbear ,Monsters,2021-05-01,55,17
All-4-One,(She's Got) Skillz,1995-05-20,57,20
All-4-One,I Can Love You Like That,1995-12-30,5,29
All-4-One,I Swear,1994-11-12,1,30
All-4-One,So Much In Love,1994-05-28,5,22
All-4-One,"Someday (From ""The Hunchback Of Notre Dame"")",1996-10-05,30,15
Allan Clarke,(I Will Be Your) Shadow In The Street,1978-05-27,41,10
Allan Clarke,Slipstream,1980-06-14,70,4
Allan Sherman,Crazy Downtown,1965-05-15,40,8
Allan Sherman,"Hello Mudduh, Hello Fadduh! (A Letter From Camp)",1963-10-05,2,10
Allan Sherman,"Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)",1964-08-29,59,6
Allan Sherman,The Drinking Man's Diet,1965-12-18,98,1
Allure Featuring 112,All Cried Out,1998-02-14,4,25
Allure Featuring NAS,Head Over Heels,1997-06-21,35,15
Aloe Blacc,The Man,2014-05-24,8,20
Alpha Rev,New Morning,2010-05-15,100,1
Alpha Team,Speed,1993-03-20,74,8
Alphaville,Big In Japan,1985-01-26,66,10
Alphaville,Forever Young,1989-01-28,65,18
Alton McClain & Destiny,It Must Be Love,1979-06-23,32,12
Alvin And The Chipmunks,Bad Day,2008-01-19,67,2
Alvin And The Chipmunks,Funkytown,2008-01-19,86,2
Alvin And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late) (2007),2008-01-12,66,2
Alvin And The Chipmunks Featuring Chris Classic,Witch Doctor (2007),2008-01-26,62,3
Alvin Cash,Keep On Dancing,1968-12-21,66,5
Alvin Cash & The Crawlers,The Barracuda,1965-05-08,59,7
Alvin Cash & The Crawlers,Twine Time,1965-03-13,14,11
Alvin Cash & The Registers,Alvin's Boo-Ga-Loo,1966-12-31,74,6
Alvin Cash & The Registers,The Philly Freeze,1966-09-24,49,9
Alvin Robinson,Something You Got,1964-07-25,52,8
Aly & AJ,Chemicals React,2006-10-21,50,4
Aly & AJ,Greatest Time Of Year,2006-12-09,96,1
Aly & AJ,Like Whoa,2008-04-05,63,8
Aly & AJ,Potential Breakup Song,2007-11-10,17,17
Aly & AJ,Rush,2006-05-13,59,11
Amanda,Everybody Doesn't,2001-06-16,81,6
Amanda Brown,Stars,2012-12-08,97,1
Amanda Marshall,Birmingham,1997-02-08,43,20
Amanda Perez,Angel,2003-06-14,20,20
Amanda Perez,Never,2002-06-01,79,16
Amazing Rhythm Aces,Amazing Grace (used To Be Her Favorite Song),1976-02-07,72,8
Amazing Rhythm Aces,The End Is Not In Sight (the Cowboy Tune),1976-11-20,42,10
Amazing Rhythm Aces,Third Rate Romance,1975-10-04,14,16
Amazulu,Montego Bay,1987-08-15,90,4
Amber,Colour Of Love,1997-03-22,74,10
Amber,One More Night,1998-02-28,58,20
Amber,Sexual (Li Da Di),2000-02-26,42,29
Amber,This Is Your Night,1997-03-15,24,40
Amber Carrington,Sad,2013-06-29,92,1
Ambjaay,Uno,2019-08-31,82,3
Ambrosia,Biggest Part Of Me,1980-08-09,3,19
Ambrosia,Holdin' On To Yesterday,1975-09-13,17,14
Ambrosia,How Can You Love Me,1982-06-26,86,4
Ambrosia,How Much I Feel,1979-01-20,3,21
Ambrosia,Magical Mystery Tour,1977-04-16,39,8
Ambrosia,"Nice, Nice, Very Nice",1975-12-06,63,5
Ambrosia,You're The Only Woman (You & I),1980-11-08,13,18
Amel Larrieux,Get Up,2000-03-18,97,3
America,A Horse With No Name,1972-05-20,1,14
America,Amber Cascades,1976-09-11,75,4
America,California Dreamin',1979-04-21,56,5
America,Daisy Jane,1975-10-11,20,13
America,Don't Cross The River,1973-03-17,35,8
America,I Need You,1972-07-22,9,10
America,Lonely People,1975-03-29,5,14
America,Muskrat Love,1973-10-06,67,8
America,Only In Your Heart,1973-05-26,62,5
America,Right Before Your Eyes,1983-02-19,45,13
America,Sister Golden Hair,1975-07-19,1,16
America,The Border,1983-09-03,33,12
America,Tin Man,1974-12-21,4,18
America,Today's The Day,1976-07-31,23,12
America,Ventura Highway,1973-01-06,8,12
America,Woman Tonight,1976-01-24,44,9
America,You Can Do Magic,1982-12-11,8,20
American Authors,Best Day Of My Life,2014-08-02,11,36
American Flyer,Let Me Down Easy,1976-11-20,80,4
American Hi-Fi,Flavor Of The Weak,2001-11-03,41,20
American Idol Finalists,God Bless The U.S.A.,2003-06-28,4,8
American Idol Finalists Season 4,When You Tell Me That You Love Me,2005-05-28,39,4
American Idol Top 8,Shout To The Lord,2008-04-26,43,1
Amerie,1 Thing,2005-06-25,8,20
Amerie,Talkin' To Me,2003-03-15,51,15
Amerie,Why Don't We Fall In Love,2002-10-12,23,19
Amii Stewart,Knock On Wood,1979-06-09,1,20
